xd1	0
xd2	0.03
xd3	0.11
xd4	0.03
xd5	0.02
xd6	0.03
xd7	0.04
xd8	0.1
xd9	0.04
xd10	0.05
xd11	0.014
xd12	0.1
xd13	0.12
xd14	0.07
xd15	0.02
xd16	0.09
xd17	0.02
xd18	0.03
xd19	0.03
xd20	0.04
xd21	0.07
xd22	0.07
xd23	0.02
xd24	0.025
xd25	0.03
xd26	0.06
xd27	0.03
xd28	0.02
xd29	0.05
xd30	0.03
xd31	0.09
xd32	0.08
xd33	0.03
xd34	0.03
xd35	0.02
xd36	0.03
xd37	0
xd38	0.05
xd39	0.05
xd40	0.01
xd41	0.04
xd42	0.04
xd43	0.07
xd44	0.03
xd45	0.03
xd46	0.04
xd47	0.02
xd48	0
xd49	0.04
xd50	0.02
xd51	0.03
xd52	0.02
xd53	0.02
xd54	0.02
xd55	0.05
xd56	0.01
xd57	0.04
xd58	0.03
xd59	0.01
xd60	0.01
xd61	0.05
xd62	0.03
xd63	0
xd64	0.04
xd65	0.03
xd66	0.04
xd67	0.05
xd68	0.05
xd69	0.05
xd70	0.04
xd71	0.03
xd72	0.02
xd73	0.03
xd74	0.02
xd75	0.01
xd76	0
xd77	0.04
xd78	0.02
xd79	0.01
xd80	0.02
xd81	0.02
xd82	0.05
xd83	0.03
xd84	0.03
xd85	0.04
xd86	0.04
xd87	0
xd88	0.03
xd89	0.02
xd90	0
xd91	0.04
xd92	0.04
xd93	0.05
xd94	0.04
xd95	0.07
xd96	0.07
xd97	0.02
xd98	0.04
xd99	0.06
xd100	0.04
xd101	0.05
xd102	0.05
xd103	0.04
xd104	0.01
xd105	0.06
xd106	0.01
xd107	0.04
xd108	0
xd109	0.02
xd110	0
xd111	0.02
xd112	0.05
xd113	0.05
xd114	0.03
xd115	0.03
xd116	0
xd117	0.05
xd118	0
xd119	0
xd120	0.01
xd121	0.05
xd122	0.02
xd123	0.02
xd124	0.07
xd125	0.04
xd126	0.05
xd127	0
xd128	0.04
xd129	0.05
xd130	0.01
xd131	0.03
xd132	0
xd133	0.01
xd134	0.04
xd135	0.05
xd136	0.05
xd137	0.02
xd138	0
xd139	0.01
xd140	0.03
xd141	0.05
xd142	0.02
xd143	0.03
xd144	0.03
xd145	0.04
xd146	0.04
xd147	0.05
xd148	0.05
xd149	0.04
xd150	0.03
xd151	0.03
xd152	0.03
xd153	0.03
xd154	0.03
xd155	0.05
xd156	0.03
xd157	0.02
xd158	0.03
xd159	0.03
xd160	0.02
xd161	0.04
xd162	0.01
xd163	0.05
xd164	0.05
